POOLED exp2 over 3 seeds (T=1500 trials/cell). z = mean(err_x^2 - err_raw^2)/SE

       arm      m    n/m     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |   z_clip    z_tpm |  bind%
     ideal  16384   1.00  1.00 |   0.00760   0.00510   0.00748 |   32.84    1.50 |   -26.63    -1.16 |  49.40
     ideal  16384   1.00  1.02 |   0.00761   0.00760   0.00689 |    0.03    9.39 |    -1.09   -20.32 |   0.20
     ideal  16384   1.00  1.10 |   0.00764   0.00764   0.00765 |    0.00   -0.09 |     0.00     4.01 |   0.00
     ideal  16384   2.00  1.00 |   0.00670   0.00424   0.00706 |   36.66   -5.43 |   -17.91     2.88 |  52.60
     ideal  16384   2.00  1.02 |   0.00646   0.00645   0.00584 |    0.16    9.69 |    -1.72   -13.64 |   0.27
     ideal  16384   2.00  1.10 |   0.00662   0.00662   0.00663 |    0.00   -0.13 |     0.00     4.91 |   0.00
     ideal  16384   4.00  1.00 |   0.00724   0.00445   0.00708 |   38.56    2.14 |   -18.56    -1.11 |  56.07
     ideal  16384   4.00  1.02 |   0.00710   0.00706   0.00630 |    0.52   11.23 |    -1.73   -13.23 |   0.33
     ideal  16384   4.00  1.10 |   0.00745   0.00745   0.00746 |    0.00   -0.16 |     0.00     6.98 |   0.00
     ideal  16384   8.00  1.00 |   0.00749   0.00507   0.00752 |   32.24   -0.46 |   -17.34     0.26 |  51.20
     ideal  16384   8.00  1.02 |   0.00761   0.00758   0.00691 |    0.34    9.17 |    -2.75   -13.49 |   0.60
     ideal  16384   8.00  1.10 |   0.00762   0.00762   0.00762 |    0.00   -0.01 |     0.00     0.36 |   0.00
     ideal  16384  16.00  1.00 |   0.00801   0.00559   0.00784 |   30.23    2.03 |   -17.52    -1.22 |  49.73
     ideal  16384  16.00  1.02 |   0.00788   0.00787   0.00709 |    0.19   10.11 |    -1.58   -14.88 |   0.33
     ideal  16384  16.00  1.10 |   0.00794   0.00794   0.00794 |    0.00   -0.03 |     0.00     1.56 |   0.00
     ideal  16384  32.00  1.00 |   0.00799   0.00578   0.00799 |   27.62    0.04 |   -17.27    -0.03 |  50.47
     ideal  16384  32.00  1.02 |   0.00802   0.00795   0.00716 |    0.88   10.74 |    -2.60   -12.84 |   0.80
     ideal  16384  32.00  1.10 |   0.00784   0.00784   0.00784 |    0.00   -0.03 |     0.00     1.31 |   0.00

cells where clip >1% worse: NONE
